epoch,loss,val_loss
0,5.0528,4.8472
1,5.0517,4.7051
2,4.5664,4.4998
3,4.3888,4.3647
4,4.3525,4.3002
5,4.2989,4.2367
6,4.2605,4.178
7,4.2156,4.1163
8,4.1339,3.9862
9,4.0832,4.0647
10,4.0888,3.9442
11,4.0445,4.0001
12,3.9751,3.9564
13,3.9714,3.8803
14,3.9023,3.8582
15,3.9061,3.8551
16,3.8824,3.8152
17,3.8655,3.7986
18,3.8327,3.8064
19,3.8357,3.7943
20,3.8048,3.7334
21,3.7986,3.8047
22,3.7881,3.6595
23,3.7158,3.6254
24,3.755,3.6188
25,3.7264,3.6376
26,3.6998,3.6058
27,3.7006,3.6154
28,3.6291,3.5351
29,3.6426,3.6049
30,3.6208,3.5919
31,3.5917,3.4939
32,3.6162,3.5312
33,3.5734,3.5676
34,3.6433,3.4485
35,3.5532,3.4973
36,3.5584,3.4742
37,3.5807,3.4945
38,3.5403,3.4876
39,3.5146,3.4313
40,3.5347,3.4424
41,3.495,3.4002
42,3.4748,3.4414
43,3.4993,3.3914
44,3.4652,3.3654
45,3.4703,3.3629
46,3.46,3.3601
47,3.4777,3.3338
48,3.4541,3.3399
49,3.4534,3.3112
50,3.4581,3.408
51,3.4354,3.3212
52,3.429,3.314
53,3.4133,3.3341
54,3.3856,3.3422
55,3.3937,3.2916
56,3.4022,3.3997
57,3.3708,3.3367
58,3.4077,3.2717
59,3.3696,3.2762
60,3.4068,3.2546
61,3.3524,3.2376
62,3.3295,3.2898
63,3.3804,3.2766
64,3.3346,3.2481
65,3.3623,3.2865
66,3.3375,3.2388
67,3.3489,3.2863
68,3.3124,3.2973
69,3.3189,3.2699
70,3.3058,3.1806
71,3.2824,3.1879
72,3.2445,3.2278
73,3.2941,3.1855
74,3.3112,3.2231
75,3.3383,3.179
76,3.2579,3.2008
77,3.2615,3.1087
78,3.2573,3.1613
79,3.2934,3.1833
80,3.1416,2.9752
81,3.0561,2.9367
82,3.011,2.9387
83,3.0042,2.9129
84,2.9839,2.8983
85,2.972,2.8915
86,2.9736,2.8767
87,2.9759,2.8806
88,2.9893,2.8744
89,2.9584,2.8683
90,2.9739,2.8643
91,2.9478,2.8523
92,2.96,2.8461
93,2.96,2.8454
94,2.9762,2.8417
95,2.9784,2.8361
96,2.9195,2.8344
97,2.9132,2.84
98,2.9417,2.825
99,2.9541,2.8172
100,2.9016,2.8069
101,2.9019,2.8037
102,2.9213,2.8015
103,2.9128,2.7993
104,2.902,2.7988
105,2.9454,2.7999
106,2.9226,2.799
107,2.9033,2.7971
108,2.906,2.7948
109,2.9299,2.7951
110,2.8971,2.7927
111,2.8799,2.7909
112,2.8714,2.7913
113,2.8949,2.7897
114,2.8913,2.7885
115,2.9349,2.7886
116,2.8738,2.7877
117,2.8962,2.7888
118,2.8786,2.787
119,2.8902,2.7863
